iter	Passed	Remaining
733	49293	17863
734	49369	17799
735	49444	17735
736	49514	17669
737	49577	17600
738	49648	17534
739	49727	17471
740	49801	17407
741	49870	17340
742	49951	17278
743	50030	17214
744	50115	17153
745	50190	17089
746	50274	17027
747	50366	16968
748	50432	16900
749	50501	16833
750	50572	16767
751	50650	16703
752	50734	16641
753	50820	16580
754	50911	16521
755	50984	16455
756	51058	16389
757	51134	16325
758	51207	16259
759	51277	16193
760	51348	16126
761	51413	16058
762	51488	15993
763	51556	15925
764	51639	15863
765	51720	15799
766	51806	15737
767	51884	15673
768	51961	15608
769	52034	15542
770	52116	15479
771	52193	15414
772	52273	15350
773	52351	15285
774	52410	15215
775	52481	15149
776	52553	15083
777	52623	15016
778	52702	14951
779	52787	14888
780	52866	14824
781	52943	14759
782	53020	14694
783	53092	14627
784	53159	14559
785	53231	14493
786	53306	14427
787	53375	14359
788	53444	14292
789	53519	14226
790	53598	14161
791	53686	14099
792	53779	14038
793	53864	13974
794	53939	13908
795	54015	13843
796	54087	13776
797	54161	13710
798	54228	13641
799	54300	13575
800	54371	13508
801	54438	13439
802	54506	13372
803	54583	13306
804	54658	13240
805	54734	13174
806	54809	13108
807	54885	13042
808	54952	12973
809	55030	12908
810	55099	12840
811	55176	12774
812	55250	12708
813	55326	12642
814	55409	12577
815	55478	12509
816	55564	12445
817	55642	12380
818	55725	12315
819	55791	12246
820	55873	12181
821	55950	12115
822	56017	12047
823	56090	11980
824	56163	11913
825	56231	11845
826	56304	11778
827	56366	11709
828	56441	11642
829	56522	11576
830	56628	11516
831	56702	11449
832	56778	11382
833	56857	11316
834	56934	11250
835	57013	11184
836	57095	11118
837	57177	11053
838	57269	10989
839	57346	10923
840	57427	10857
841	57503	10790
842	57570	10721
843	57637	10653
844	57722	10588
845	57793	10520
846	57992	10475
847	58068	10408
848	58145	10341
849	58220	10274
850	58290	10205
851	58360	10137
852	58435	10070
853	58504	10001
854	58571	9933
855	58646	9865
856	58716	9797
857	58793	9730
858	58872	9663
859	58942	9595
860	59014	9527
861	59089	9459
862	59165	9392
863	59232	9323
864	59306	9255
865	59386	9189
866	59469	9122
867	59553	9056
868	59628	8988
869	59698	8920
870	59770	8852
871	59842	8784
872	59917	8716
873	59990	8648
874	60071	8581
875	60148	8514
876	60224	8446
877	60298	8378
878	60375	8311
879	60444	8242
880	60514	8173
881	60583	8105
882	60657	8037
883	60728	7968
884	60797	7900
885	60867	7831
886	60931	7762
887	61002	7694
888	61076	7626
889	61161	7559
890	61245	7492
891	61328	7425
892	61408	7358
893	61489	7290
894	61572	7223
895	61637	7154
896	61709	7085
897	61780	7017
898	61868	6950
899	61943	6882
900	62015	6814
901	62167	6754
902	62276	6689
903	62375	6623
904	62483	6559
905	62575	6492
906	62657	6424
907	62744	6357
908	62820	6288
909	62894	6220
910	62961	6151
911	63031	6081
912	63126	6015
913	63233	5949
914	63329	5883
915	63429	5816
916	63510	5748
917	63620	5682
918	63721	5616
919	63802	5548
920	63873	5478
921	63946	5409
922	64015	5340
923	64086	5271
924	64151	5201
925	64219	5132
926	64305	5064
927	64395	4996
928	64499	4929
929	64590	4861
930	64678	4793
931	64927	4737
932	65056	4671
933	65153	4604
934	65257	4536
935	65347	4468
936	65447	4400
937	65527	4331
938	65596	4261
939	65663	4191
940	65733	4121
941	65818	4052
942	65897	3983
943	65969	3913
944	66045	3843
945	66114	3773
946	66180	3703
947	66250	3633
948	66317	3563
949	66381	3493
950	66448	3423
951	66512	3353
952	66577	3283
953	66644	3213
954	66710	3143
955	66775	3073
956	66849	3003
957	66925	2934
958	66998	2864
959	67066	2794
960	67131	2724
961	67195	2654
962	67260	2584
963	67325	2514
964	67390	2444
965	67452	2374
966	67525	2304
967	67587	2234
968	67659	2164
969	67731	2094
970	67805	2025
971	67882	1955
972	67969	1886
973	68044	1816
974	68124	1746
975	68208	1677
976	68295	1607
977	68368	1537
978	68443	1468
979	68512	1398
980	68577	1328
981	68654	1258
982	68727	1188
983	68791	1118
984	68858	1048
985	68938	978
986	69013	908
987	69088	839
988	69156	769
989	69223	699
990	69286	629
991	69361	559
992	69452	489
993	69541	419
994	69611	349
995	69677	279
996	69769	209
997	69859	139
998	69925	69
999	69993	0
